DATE TIME (UTC),MMSI,LATITUDE,LONGITUDE,COURSE,SPEED,HEADING,IMO,NAME,CALLSIGN,AISTYPE,A,B,C,D,DRAUGHT,DESTINATION,ETA
4/14/2016 15:03,354562000,36.46283,17.8315,93,12.1,511,9103740,CANKA,HPSG,70,0,90,0,15,3.8,TR AMBARLI,4/16/2016 23:00
4/14/2016 15:03,220530000,36.39764,18.02453,271,11.6,511,9431264,KIRSTEN MAERSK,OYDH2,89,146,37,14,13,11.7,LAVERA,4/17/2016 10:00
4/14/2016 15:03,226276000,36.85117,17.35083,249,7.6,511,9369265,BUCKINGHAM,FMFY,52,14,8,6,6,3,VALLETTA,4/15/2016 12:30
4/14/2016 15:04,255805623,37.46783,17.5735,284,16,511,9236274,PACUL,CQFV,71,120,29,10,13,7.8,NAPLES,4/15/2016 11:00
4/14/2016 15:04,271000654,36.47983,17.67767,268,12.3,511,9238076,YIGITCAN A,TCTP,71,11,145,12,12,9,CAGLIARI,4/15/2016 21:59
4/14/2016 15:04,247819000,37.41233,17.97283,105,15.3,511,8716502,COSTA NEOCLASSICA,ICIC,60,41,179,17,17,7.6,KALAMATA,4/15/2016 5:00
4/14/2016 15:04,256684000,37.68042,16.41584,102.4,7.7,511,8511914,ANDRE-MICHEL 1,9HAK9,79,64,15,7,4,3.3,NEMRUT,4/17/2016 12:00
4/14/2016 15:04,355213000,37.65525,16.51291,217,16,511,9458171,GAZ VICTORY,3FUG,80,120,36,11,12,7.9,MALTA,4/15/2016 1:00
4/14/2016 15:04,538005381,37.67557,16.67827,104.4,12.2,511,9319868,CANOPUS,V7DF6,72,126,14,12,8,7.2,BURGAS,4/17/2016 23:59
4/14/2016 15:04,256247000,37.57547,16.51122,104,10.5,511,9369928,FETEKOZ,9HA3865,89,80,25,10,7,6.9,BEIRUT,4/18/2016 12:00
4/14/2016 16:00,247226900,36.5385,16.61183,93,14.2,511,9379337,ICE POINT,ICIB,80,152,30,14,18,8.4,TUAPSE,4/19/2016 12:00
4/14/2016 16:00,226276000,36.812,17.219,250,7,511,9369265,BUCKINGHAM,FMFY,52,14,8,6,6,3,VALLETTA,4/15/2016 12:30
4/14/2016 16:01,538005838,36.6426,16.71692,322.8,20.1,511,9708837,AL MURABBA,V7HK9,71,140,228,20,31,11.9,EG PSE>IT SPE,4/16/2016 0:00
4/14/2016 16:03,256684000,37.64546,16.56561,106.4,7.4,511,8511914,ANDRE-MICHEL 1,9HAK9,79,64,15,7,4,3.3,NEMRUT,4/17/2016 12:00
4/14/2016 16:04,271000654,36.47383,17.44433,268,12.5,511,9238076,YIGITCAN A,TCTP,71,11,145,12,12,9,CAGLIARI,4/15/2016 21:59
4/14/2016 16:04,255805623,37.5346,17.24311,284,16.5,511,9236274,PACUL,CQFV,71,120,29,10,13,7.8,NAPLES,4/15/2016 11:00
4/14/2016 16:04,256247000,37.52497,16.72633,109,10.8,511,9369928,FETEKOZ,9HA3865,89,80,25,10,7,6.9,BEIRUT,4/18/2016 12:00
4/14/2016 16:05,538005381,37.627,16.91849,104.9,12.1,511,9319868,CANOPUS,V7DF6,72,126,14,12,8,7.2,BURGAS,4/17/2016 23:59
4/14/2016 16:46,220530000,36.40456,17.6233,272,11.5,511,9431264,KIRSTEN MAERSK,OYDH2,89,146,37,14,13,11.7,LAVERA,4/17/2016 10:00
4/14/2016 17:00,229632000,37.68278,17.68459,231.6,12.9,511,9669653,CIELO DI GAETA,9HA3467,89,148,35,8,24,9.1,BRUNSBUTTEL,4/23/2016 16:00
4/14/2016 17:01,256684000,37.61607,16.6946,112.4,7.1,511,8511914,ANDRE-MICHEL 1,9HAK9,79,64,15,7,4,3.3,NEMRUT,4/17/2016 12:00
4/14/2016 17:02,538005381,37.57543,17.14417,110.5,12.4,511,9319868,CANOPUS,V7DF6,72,126,14,12,8,7.2,BURGAS,4/17/2016 23:59
4/14/2016 17:03,247238700,37.35703,17.96805,282,11.3,511,9404637,LEALE,ICIQ,80,0,112,0,17,6,LIVORNO,4/16/2016 12:00
4/14/2016 17:03,226276000,36.76717,17.0715,244,7.5,511,9369265,BUCKINGHAM,FMFY,52,14,8,6,6,3,VALLETTA,4/15/2016 12:30
